,index,timePeriod,sentiment
7039,641,1820-01-01,0.31
7041,1938,1820-01-01,0.0
7048,4049,1820-01-01,0.167
7071,7360,1820-01-01,0.1
7074,7589,1820-01-01,0.0
7084,3576,1820-01-01,0.0
7089,9906,1820-01-01,0.469
7104,7008,1820-01-01,0.221
7110,2330,1820-01-01,0.158
7113,6828,1820-01-01,0.152
7115,3096,1820-01-01,0.0
7149,9885,1820-01-01,0.185
7162,3190,1820-01-01,0.335
7168,8118,1820-01-01,0.588
7177,57,1820-01-01,0.778
7181,3669,1820-01-01,0.147
7187,8782,1820-01-01,0.0
7204,6400,1820-01-01,0.488
7218,1830,1820-01-01,0.324
7226,5131,1820-01-01,0.0
7237,4816,1820-01-01,0.2
7238,3699,1820-01-01,0.0
7243,5495,1820-01-01,0.0
7260,665,1820-01-01,0.238
7264,240,1820-01-01,0.095
7269,8736,1820-01-01,0.602
7285,877,1820-01-01,0.358
7301,4568,1820-01-01,0.365
7311,2192,1820-01-01,0.0
7336,6367,1820-01-01,0.23
7343,9775,1820-01-01,0.315
7365,5118,1820-01-01,0.324
7376,6948,1820-01-01,0.0
7380,495,1820-01-01,0.0
7399,87,1820-01-01,0.295
7402,5432,1820-01-01,0.0
7413,9665,1820-01-01,0.401
7415,4597,1820-01-01,0.0
7417,6349,1820-01-01,0.639
7424,4850,1820-01-01,0.2
7437,474,1820-01-01,0.0
7442,2845,1820-01-01,0.0
7454,1211,1820-01-01,0.0
7456,1625,1820-01-01,0.0
7479,7441,1820-01-01,0.0
7483,8465,1820-01-01,0.0
7484,8104,1820-01-01,0.079
7488,6696,1820-01-01,0.452
7496,3888,1820-01-01,0.0
7517,492,1820-01-01,0.298
7528,1806,1820-01-01,0.305
7535,4613,1820-01-01,0.173
7542,1503,1820-01-01,0.516
7544,3782,1820-01-01,0.181
7564,9369,1820-01-01,0.0
7583,8076,1820-01-01,0.0
7588,7547,1820-01-01,0.234
7590,3729,1820-01-01,0.0
7591,3266,1820-01-01,0.106
7595,9591,1820-01-01,0.0
7602,9375,1820-01-01,0.111
7610,5019,1820-01-01,0.073
7613,9677,1820-01-01,0.204
7622,7796,1820-01-01,0.157
7636,7726,1820-01-01,0.469
7641,2654,1820-01-01,0.169
7654,9668,1820-01-01,0.0
7658,8922,1820-01-01,0.227
7687,5186,1820-01-01,0.0
7695,5018,1820-01-01,0.208
7700,3309,1820-01-01,0.157
7701,5858,1820-01-01,0.21
7705,9117,1820-01-01,0.18
7713,6512,1820-01-01,0.2
7743,4995,1820-01-01,0.227
7747,5422,1820-01-01,0.0
7751,6492,1820-01-01,0.252
7756,75,1820-01-01,0.303
7775,5522,1820-01-01,0.0
7778,6925,1820-01-01,0.0
7797,6521,1820-01-01,0.207
7799,461,1820-01-01,0.0
7828,6603,1820-01-01,0.355
7840,6222,1820-01-01,0.238
7841,7323,1820-01-01,0.238
7845,9044,1820-01-01,0.0
7848,9059,1820-01-01,0.0
7871,9896,1820-01-01,0.288
7873,8642,1820-01-01,0.221
7901,4279,1820-01-01,0.0
7915,249,1820-01-01,0.199
7920,3768,1820-01-01,0.0
7933,3844,1820-01-01,0.254
7939,9643,1820-01-01,0.373
7940,5620,1820-01-01,0.167
7943,9662,1820-01-01,0.437
7949,6912,1820-01-01,0.24
7971,4458,1820-01-01,0.249
7982,5405,1820-01-01,0.091
7985,1468,1820-01-01,0.43
7987,3233,1820-01-01,0.337
7992,7743,1820-01-01,0.0
7996,9494,1820-01-01,0.214
8001,1244,1820-01-01,0.0
8007,9745,1820-01-01,0.175
8015,8945,1820-01-01,0.0
8020,9359,1820-01-01,0.135
8033,2910,1820-01-01,0.229
8040,7405,1820-01-01,0.129
8047,2425,1820-01-01,0.31
8055,1904,1820-01-01,0.097
8065,8336,1820-01-01,0.255
8067,7340,1820-01-01,0.0
8082,8446,1820-01-01,0.235
8102,8976,1820-01-01,0.0
8104,6356,1820-01-01,0.0
8122,4172,1820-01-01,0.213
8123,6077,1820-01-01,0.0
8124,8531,1820-01-01,0.0
8131,9351,1820-01-01,0.0
8147,76,1820-01-01,0.0
8153,7891,1820-01-01,0.0
